date,struggle,isPartial
2012-01-01,67,False
2012-01-08,85,False
2012-01-15,85,False
2012-01-22,86,False
2012-01-29,87,False
2012-02-05,90,False
2012-02-12,99,False
2012-02-19,87,False
2012-02-26,98,False
2012-03-04,100,False
2012-03-11,89,False
2012-03-18,88,False
2012-03-25,89,False
2012-04-01,85,False
2012-04-08,91,False
2012-04-15,98,False
2012-04-22,96,False
2012-04-29,93,False
2012-05-06,90,False
2012-05-13,88,False
2012-05-20,74,False
2012-05-27,74,False
2012-06-03,72,False
2012-06-10,56,False
2012-06-17,56,False
2012-06-24,64,False
2012-07-01,63,False
2012-07-08,56,False
2012-07-15,61,False
2012-07-22,56,False
2012-07-29,50,False
2012-08-05,57,False
2012-08-12,60,False
2012-08-19,66,False
2012-08-26,73,False
2012-09-02,76,False
2012-09-09,87,False
2012-09-16,84,False
2012-09-23,91,False
2012-09-30,86,False
2012-10-07,82,False
2012-10-14,85,False
2012-10-21,78,False
2012-10-28,80,False
2012-11-04,83,False
2012-11-11,100,False
2012-11-18,83,False
2012-11-25,92,False
2012-12-02,99,False
2012-12-09,96,False
2012-12-16,80,False
2012-12-23,63,False
2012-12-30,68,False
