date,mental,isPartial
2011-01-02,89,False
2011-01-09,96,False
2011-01-16,92,False
2011-01-23,97,False
2011-01-30,87,False
2011-02-06,95,False
2011-02-13,96,False
2011-02-20,100,False
2011-02-27,100,False
2011-03-06,93,False
2011-03-13,90,False
2011-03-20,95,False
2011-03-27,97,False
2011-04-03,96,False
2011-04-10,97,False
2011-04-17,94,False
2011-04-24,99,False
2011-05-01,98,False
2011-05-08,93,False
2011-05-15,95,False
2011-05-22,94,False
2011-05-29,85,False
2011-06-05,88,False
2011-06-12,86,False
2011-06-19,85,False
2011-06-26,82,False
2011-07-03,78,False
2011-07-10,83,False
2011-07-17,87,False
2011-07-24,81,False
2011-07-31,83,False
2011-08-07,78,False
2011-08-14,82,False
2011-08-21,80,False
2011-08-28,87,False
2011-09-04,84,False
2011-09-11,95,False
2011-09-18,97,False
2011-09-25,94,False
2011-10-02,98,False
2011-10-09,96,False
2011-10-16,94,False
2011-10-23,93,False
2011-10-30,95,False
2011-11-06,92,False
2011-11-13,96,False
2011-11-20,75,False
2011-11-27,92,False
2011-12-04,94,False
2011-12-11,82,False
2011-12-18,67,False
2011-12-25,57,False
