date,mental,isPartial
2012-01-01,65,False
2012-01-08,72,False
2012-01-15,74,False
2012-01-22,78,False
2012-01-29,78,False
2012-02-05,82,False
2012-02-12,81,False
2012-02-19,80,False
2012-02-26,84,False
2012-03-04,79,False
2012-03-11,77,False
2012-03-18,76,False
2012-03-25,79,False
2012-04-01,84,False
2012-04-08,84,False
2012-04-15,90,False
2012-04-22,90,False
2012-04-29,86,False
2012-05-06,84,False
2012-05-13,78,False
2012-05-20,77,False
2012-05-27,74,False
2012-06-03,72,False
2012-06-10,73,False
2012-06-17,73,False
2012-06-24,72,False
2012-07-01,67,False
2012-07-08,75,False
2012-07-15,77,False
2012-07-22,80,False
2012-07-29,75,False
2012-08-05,70,False
2012-08-12,69,False
2012-08-19,72,False
2012-08-26,73,False
2012-09-02,76,False
2012-09-09,87,False
2012-09-16,81,False
2012-09-23,82,False
2012-09-30,83,False
2012-10-07,83,False
2012-10-14,83,False
2012-10-21,85,False
2012-10-28,77,False
2012-11-04,81,False
2012-11-11,81,False
2012-11-18,67,False
2012-11-25,83,False
2012-12-02,84,False
2012-12-09,85,False
2012-12-16,100,False
2012-12-23,55,False
2012-12-30,65,False
