date,fear,isPartial
2012-01-01,84,False
2012-01-08,93,False
2012-01-15,86,False
2012-01-22,89,False
2012-01-29,99,False
2012-02-05,85,False
2012-02-12,88,False
2012-02-19,86,False
2012-02-26,89,False
2012-03-04,85,False
2012-03-11,80,False
2012-03-18,81,False
2012-03-25,81,False
2012-04-01,76,False
2012-04-08,81,False
2012-04-15,79,False
2012-04-22,79,False
2012-04-29,84,False
2012-05-06,82,False
2012-05-13,80,False
2012-05-20,74,False
2012-05-27,77,False
2012-06-03,76,False
2012-06-10,78,False
2012-06-17,72,False
2012-06-24,66,False
2012-07-01,68,False
2012-07-08,74,False
2012-07-15,78,False
2012-07-22,74,False
2012-07-29,66,False
2012-08-05,65,False
2012-08-12,68,False
2012-08-19,70,False
2012-08-26,69,False
2012-09-02,68,False
2012-09-09,70,False
2012-09-16,82,False
2012-09-23,82,False
2012-09-30,88,False
2012-10-07,92,False
2012-10-14,95,False
2012-10-21,100,False
2012-10-28,96,False
2012-11-04,77,False
2012-11-11,80,False
2012-11-18,69,False
2012-11-25,78,False
2012-12-02,82,False
2012-12-09,82,False
2012-12-16,72,False
2012-12-23,62,False
2012-12-30,73,False
