date,fear,isPartial
2016-01-03,61,False
2016-01-10,55,False
2016-01-17,56,False
2016-01-24,59,False
2016-01-31,61,False
2016-02-07,60,False
2016-02-14,63,False
2016-02-21,67,False
2016-02-28,66,False
2016-03-06,65,False
2016-03-13,62,False
2016-03-20,61,False
2016-03-27,61,False
2016-04-03,71,False
2016-04-10,100,False
2016-04-17,79,False
2016-04-24,78,False
2016-05-01,80,False
2016-05-08,80,False
2016-05-15,76,False
2016-05-22,77,False
2016-05-29,59,False
2016-06-05,56,False
2016-06-12,54,False
2016-06-19,49,False
2016-06-26,50,False
2016-07-03,50,False
2016-07-10,45,False
2016-07-17,50,False
2016-07-24,50,False
2016-07-31,47,False
2016-08-07,46,False
2016-08-14,50,False
2016-08-21,74,False
2016-08-28,64,False
2016-09-04,64,False
2016-09-11,64,False
2016-09-18,66,False
2016-09-25,71,False
2016-10-02,90,False
2016-10-09,76,False
2016-10-16,70,False
2016-10-23,74,False
2016-10-30,67,False
2016-11-06,59,False
2016-11-13,57,False
2016-11-20,46,False
2016-11-27,52,False
2016-12-04,55,False
2016-12-11,55,False
2016-12-18,47,False
2016-12-25,42,False
