date,fear,isPartial
2015-01-04,27,False
2015-01-11,27,False
2015-01-18,28,False
2015-01-25,28,False
2015-02-01,28,False
2015-02-08,29,False
2015-02-15,25,False
2015-02-22,28,False
2015-03-01,28,False
2015-03-08,28,False
2015-03-15,27,False
2015-03-22,27,False
2015-03-29,42,False
2015-04-05,28,False
2015-04-12,28,False
2015-04-19,28,False
2015-04-26,30,False
2015-05-03,28,False
2015-05-10,29,False
2015-05-17,30,False
2015-05-24,29,False
2015-05-31,29,False
2015-06-07,30,False
2015-06-14,29,False
2015-06-21,28,False
2015-06-28,29,False
2015-07-05,33,False
2015-07-12,30,False
2015-07-19,26,False
2015-07-26,30,False
2015-08-02,33,False
2015-08-09,34,False
2015-08-16,44,False
2015-08-23,100,False
2015-08-30,64,False
2015-09-06,56,False
2015-09-13,55,False
2015-09-20,53,False
2015-09-27,57,False
2015-10-04,68,False
2015-10-11,47,False
2015-10-18,42,False
2015-10-25,44,False
2015-11-01,35,False
2015-11-08,32,False
2015-11-15,35,False
2015-11-22,27,False
2015-11-29,33,False
2015-12-06,34,False
2015-12-13,30,False
2015-12-20,23,False
2015-12-27,27,False
