date,fear,isPartial
2014-01-05,65,False
2014-01-12,69,False
2014-01-19,67,False
2014-01-26,73,False
2014-02-02,69,False
2014-02-09,71,False
2014-02-16,73,False
2014-02-23,80,False
2014-03-02,71,False
2014-03-09,71,False
2014-03-16,74,False
2014-03-23,74,False
2014-03-30,74,False
2014-04-06,71,False
2014-04-13,71,False
2014-04-20,72,False
2014-04-27,75,False
2014-05-04,75,False
2014-05-11,72,False
2014-05-18,71,False
2014-05-25,71,False
2014-06-01,63,False
2014-06-08,61,False
2014-06-15,59,False
2014-06-22,59,False
2014-06-29,64,False
2014-07-06,60,False
2014-07-13,62,False
2014-07-20,57,False
2014-07-27,60,False
2014-08-03,57,False
2014-08-10,58,False
2014-08-17,61,False
2014-08-24,80,False
2014-08-31,68,False
2014-09-07,68,False
2014-09-14,70,False
2014-09-21,75,False
2014-09-28,83,False
2014-10-05,87,False
2014-10-12,91,False
2014-10-19,91,False
2014-10-26,100,False
2014-11-02,75,False
2014-11-09,68,False
2014-11-16,73,False
2014-11-23,63,False
2014-11-30,75,False
2014-12-07,74,False
2014-12-14,68,False
2014-12-21,51,False
2014-12-28,56,False
