date,depression,isPartial
2016-01-03,78,False
2016-01-10,78,False
2016-01-17,81,False
2016-01-24,90,False
2016-01-31,91,False
2016-02-07,86,False
2016-02-14,86,False
2016-02-21,95,False
2016-02-28,92,False
2016-03-06,96,False
2016-03-13,87,False
2016-03-20,84,False
2016-03-27,86,False
2016-04-03,96,False
2016-04-10,100,False
2016-04-17,93,False
2016-04-24,89,False
2016-05-01,85,False
2016-05-08,90,False
2016-05-15,84,False
2016-05-22,76,False
2016-05-29,68,False
2016-06-05,68,False
2016-06-12,63,False
2016-06-19,66,False
2016-06-26,61,False
2016-07-03,60,False
2016-07-10,60,False
2016-07-17,60,False
2016-07-24,60,False
2016-07-31,59,False
2016-08-07,57,False
2016-08-14,57,False
2016-08-21,64,False
2016-08-28,94,False
2016-09-04,70,False
2016-09-11,75,False
2016-09-18,79,False
2016-09-25,80,False
2016-10-02,81,False
2016-10-09,81,False
2016-10-16,85,False
2016-10-23,88,False
2016-10-30,87,False
2016-11-06,82,False
2016-11-13,86,False
2016-11-20,68,False
2016-11-27,94,False
2016-12-04,97,False
2016-12-11,86,False
2016-12-18,67,False
2016-12-25,66,False
