date,depression,isPartial
2011-01-02,79,False
2011-01-09,78,False
2011-01-16,82,False
2011-01-23,84,False
2011-01-30,83,False
2011-02-06,88,False
2011-02-13,91,False
2011-02-20,88,False
2011-02-27,94,False
2011-03-06,92,False
2011-03-13,83,False
2011-03-20,92,False
2011-03-27,100,False
2011-04-03,97,False
2011-04-10,98,False
2011-04-17,88,False
2011-04-24,93,False
2011-05-01,90,False
2011-05-08,87,False
2011-05-15,89,False
2011-05-22,81,False
2011-05-29,76,False
2011-06-05,79,False
2011-06-12,71,False
2011-06-19,69,False
2011-06-26,65,False
2011-07-03,66,False
2011-07-10,67,False
2011-07-17,70,False
2011-07-24,67,False
2011-07-31,75,False
2011-08-07,70,False
2011-08-14,65,False
2011-08-21,68,False
2011-08-28,76,False
2011-09-04,76,False
2011-09-11,77,False
2011-09-18,76,False
2011-09-25,83,False
2011-10-02,80,False
2011-10-09,87,False
2011-10-16,81,False
2011-10-23,84,False
2011-10-30,84,False
2011-11-06,85,False
2011-11-13,91,False
2011-11-20,70,False
2011-11-27,96,False
2011-12-04,88,False
2011-12-11,86,False
2011-12-18,61,False
2011-12-25,54,False
