date,depression,isPartial
2012-01-01,79,False
2012-01-08,86,False
2012-01-15,87,False
2012-01-22,92,False
2012-01-29,99,False
2012-02-05,100,False
2012-02-12,90,False
2012-02-19,94,False
2012-02-26,98,False
2012-03-04,95,False
2012-03-11,88,False
2012-03-18,93,False
2012-03-25,93,False
2012-04-01,86,False
2012-04-08,92,False
2012-04-15,99,False
2012-04-22,97,False
2012-04-29,93,False
2012-05-06,88,False
2012-05-13,86,False
2012-05-20,81,False
2012-05-27,79,False
2012-06-03,75,False
2012-06-10,71,False
2012-06-17,70,False
2012-06-24,66,False
2012-07-01,66,False
2012-07-08,69,False
2012-07-15,67,False
2012-07-22,71,False
2012-07-29,71,False
2012-08-05,67,False
2012-08-12,66,False
2012-08-19,74,False
2012-08-26,72,False
2012-09-02,79,False
2012-09-09,79,False
2012-09-16,78,False
2012-09-23,79,False
2012-09-30,85,False
2012-10-07,81,False
2012-10-14,85,False
2012-10-21,85,False
2012-10-28,82,False
2012-11-04,84,False
2012-11-11,89,False
2012-11-18,72,False
2012-11-25,91,False
2012-12-02,96,False
2012-12-09,88,False
2012-12-16,73,False
2012-12-23,61,False
2012-12-30,73,False
