date,depression,isPartial
2015-01-04,77,False
2015-01-11,78,False
2015-01-18,80,False
2015-01-25,86,False
2015-02-01,81,False
2015-02-08,84,False
2015-02-15,80,False
2015-02-22,90,False
2015-03-01,91,False
2015-03-08,91,False
2015-03-15,90,False
2015-03-22,90,False
2015-03-29,85,False
2015-04-05,87,False
2015-04-12,91,False
2015-04-19,91,False
2015-04-26,88,False
2015-05-03,90,False
2015-05-10,85,False
2015-05-17,83,False
2015-05-24,79,False
2015-05-31,75,False
2015-06-07,67,False
2015-06-14,67,False
2015-06-21,67,False
2015-06-28,66,False
2015-07-05,69,False
2015-07-12,70,False
2015-07-19,71,False
2015-07-26,65,False
2015-08-02,63,False
2015-08-09,65,False
2015-08-16,69,False
2015-08-23,73,False
2015-08-30,73,False
2015-09-06,77,False
2015-09-13,82,False
2015-09-20,84,False
2015-09-27,88,False
2015-10-04,85,False
2015-10-11,91,False
2015-10-18,94,False
2015-10-25,89,False
2015-11-01,96,False
2015-11-08,88,False
2015-11-15,90,False
2015-11-22,68,False
2015-11-29,92,False
2015-12-06,100,False
2015-12-13,88,False
2015-12-20,60,False
2015-12-27,63,False
