date,depressed,isPartial
2015-01-04,83,False
2015-01-11,84,False
2015-01-18,82,False
2015-01-25,78,False
2015-02-01,80,False
2015-02-08,84,False
2015-02-15,88,False
2015-02-22,81,False
2015-03-01,91,False
2015-03-08,88,False
2015-03-15,78,False
2015-03-22,87,False
2015-03-29,77,False
2015-04-05,80,False
2015-04-12,86,False
2015-04-19,89,False
2015-04-26,79,False
2015-05-03,82,False
2015-05-10,88,False
2015-05-17,84,False
2015-05-24,92,False
2015-05-31,75,False
2015-06-07,77,False
2015-06-14,80,False
2015-06-21,76,False
2015-06-28,85,False
2015-07-05,82,False
2015-07-12,86,False
2015-07-19,76,False
2015-07-26,83,False
2015-08-02,78,False
2015-08-09,83,False
2015-08-16,79,False
2015-08-23,77,False
2015-08-30,80,False
2015-09-06,85,False
2015-09-13,76,False
2015-09-20,85,False
2015-09-27,87,False
2015-10-04,89,False
2015-10-11,92,False
2015-10-18,95,False
2015-10-25,93,False
2015-11-01,100,False
2015-11-08,87,False
2015-11-15,90,False
2015-11-22,77,False
2015-11-29,95,False
2015-12-06,91,False
2015-12-13,87,False
2015-12-20,75,False
2015-12-27,84,False
