date,depressed,isPartial
2016-01-03,93,False
2016-01-10,86,False
2016-01-17,91,False
2016-01-24,98,False
2016-01-31,95,False
2016-02-07,90,False
2016-02-14,92,False
2016-02-21,89,False
2016-02-28,90,False
2016-03-06,89,False
2016-03-13,90,False
2016-03-20,91,False
2016-03-27,88,False
2016-04-03,96,False
2016-04-10,99,False
2016-04-17,98,False
2016-04-24,95,False
2016-05-01,86,False
2016-05-08,87,False
2016-05-15,90,False
2016-05-22,84,False
2016-05-29,81,False
2016-06-05,85,False
2016-06-12,76,False
2016-06-19,83,False
2016-06-26,82,False
2016-07-03,78,False
2016-07-10,81,False
2016-07-17,80,False
2016-07-24,82,False
2016-07-31,75,False
2016-08-07,77,False
2016-08-14,72,False
2016-08-21,82,False
2016-08-28,80,False
2016-09-04,87,False
2016-09-11,88,False
2016-09-18,85,False
2016-09-25,91,False
2016-10-02,79,False
2016-10-09,92,False
2016-10-16,93,False
2016-10-23,93,False
2016-10-30,91,False
2016-11-06,90,False
2016-11-13,92,False
2016-11-20,85,False
2016-11-27,99,False
2016-12-04,100,False
2016-12-11,87,False
2016-12-18,84,False
2016-12-25,78,False
