date,depressed,isPartial
2011-01-02,89,False
2011-01-09,82,False
2011-01-16,91,False
2011-01-23,90,False
2011-01-30,91,False
2011-02-06,90,False
2011-02-13,89,False
2011-02-20,88,False
2011-02-27,89,False
2011-03-06,82,False
2011-03-13,74,False
2011-03-20,84,False
2011-03-27,92,False
2011-04-03,82,False
2011-04-10,94,False
2011-04-17,92,False
2011-04-24,94,False
2011-05-01,92,False
2011-05-08,84,False
2011-05-15,90,False
2011-05-22,92,False
2011-05-29,87,False
2011-06-05,73,False
2011-06-12,82,False
2011-06-19,86,False
2011-06-26,82,False
2011-07-03,96,False
2011-07-10,79,False
2011-07-17,81,False
2011-07-24,83,False
2011-07-31,88,False
2011-08-07,82,False
2011-08-14,94,False
2011-08-21,91,False
2011-08-28,82,False
2011-09-04,86,False
2011-09-11,100,False
2011-09-18,89,False
2011-09-25,93,False
2011-10-02,81,False
2011-10-09,96,False
2011-10-16,94,False
2011-10-23,87,False
2011-10-30,98,False
2011-11-06,92,False
2011-11-13,93,False
2011-11-20,85,False
2011-11-27,94,False
2011-12-04,92,False
2011-12-11,97,False
2011-12-18,83,False
2011-12-25,79,False
