date,depressed,isPartial
2012-01-01,87,False
2012-01-08,78,False
2012-01-15,82,False
2012-01-22,91,False
2012-01-29,85,False
2012-02-05,84,False
2012-02-12,82,False
2012-02-19,91,False
2012-02-26,86,False
2012-03-04,86,False
2012-03-11,82,False
2012-03-18,80,False
2012-03-25,87,False
2012-04-01,84,False
2012-04-08,79,False
2012-04-15,100,False
2012-04-22,84,False
2012-04-29,91,False
2012-05-06,82,False
2012-05-13,87,False
2012-05-20,87,False
2012-05-27,82,False
2012-06-03,82,False
2012-06-10,79,False
2012-06-17,92,False
2012-06-24,80,False
2012-07-01,89,False
2012-07-08,82,False
2012-07-15,81,False
2012-07-22,75,False
2012-07-29,86,False
2012-08-05,77,False
2012-08-12,78,False
2012-08-19,80,False
2012-08-26,81,False
2012-09-02,94,False
2012-09-09,91,False
2012-09-16,89,False
2012-09-23,87,False
2012-09-30,87,False
2012-10-07,85,False
2012-10-14,90,False
2012-10-21,92,False
2012-10-28,88,False
2012-11-04,95,False
2012-11-11,89,False
2012-11-18,87,False
2012-11-25,91,False
2012-12-02,97,False
2012-12-09,86,False
2012-12-16,93,False
2012-12-23,82,False
2012-12-30,99,False
