geoName,dejected
Alabama,33
Alaska,0
Arizona,31
Arkansas,55
California,36
Colorado,40
Connecticut,8
Delaware,23
District of Columbia,33
Florida,46
Georgia,45
Hawaii,35
Idaho,100
Illinois,26
Indiana,30
Iowa,36
Kansas,62
Kentucky,51
Louisiana,30
Maine,42
Maryland,42
Massachusetts,36
Michigan,23
Minnesota,22
Mississippi,0
Missouri,11
Montana,0
Nebraska,29
Nevada,29
New Hampshire,12
New Jersey,41
New Mexico,38
New York,40
North Carolina,42
North Dakota,0
Ohio,37
Oklahoma,41
Oregon,39
Pennsylvania,40
Rhode Island,47
South Carolina,15
South Dakota,0
Tennessee,16
Texas,27
Utah,38
Vermont,0
Virginia,25
Washington,36
West Virginia,33
Wisconsin,31
Wyoming,0
