geoName,dejected
Alabama,18
Alaska,0
Arizona,37
Arkansas,100
California,32
Colorado,37
Connecticut,7
Delaware,72
District of Columbia,35
Florida,29
Georgia,26
Hawaii,19
Idaho,0
Illinois,35
Indiana,6
Iowa,51
Kansas,66
Kentucky,17
Louisiana,27
Maine,22
Maryland,50
Massachusetts,37
Michigan,40
Minnesota,45
Mississippi,0
Missouri,25
Montana,0
Nebraska,59
Nevada,58
New Hampshire,37
New Jersey,39
New Mexico,20
New York,45
North Carolina,27
North Dakota,0
Ohio,28
Oklahoma,21
Oregon,58
Pennsylvania,38
Rhode Island,48
South Carolina,0
South Dakota,0
Tennessee,22
Texas,40
Utah,20
Vermont,0
Virginia,30
Washington,51
West Virginia,74
Wisconsin,32
Wyoming,0
