date,weight loss,isPartial
2015-01-04,100,False
2015-01-11,92,False
2015-01-18,86,False
2015-01-25,83,False
2015-02-01,78,False
2015-02-08,73,False
2015-02-15,78,False
2015-02-22,83,False
2015-03-01,80,False
2015-03-08,84,False
2015-03-15,80,False
2015-03-22,82,False
2015-03-29,81,False
2015-04-05,82,False
2015-04-12,79,False
2015-04-19,83,False
2015-04-26,76,False
2015-05-03,78,False
2015-05-10,75,False
2015-05-17,77,False
2015-05-24,81,False
2015-05-31,82,False
2015-06-07,81,False
2015-06-14,76,False
2015-06-21,81,False
2015-06-28,78,False
2015-07-05,86,False
2015-07-12,83,False
2015-07-19,82,False
2015-07-26,80,False
2015-08-02,77,False
2015-08-09,77,False
2015-08-16,77,False
2015-08-23,71,False
2015-08-30,69,False
2015-09-06,68,False
2015-09-13,69,False
2015-09-20,69,False
2015-09-27,65,False
2015-10-04,68,False
2015-10-11,67,False
2015-10-18,68,False
2015-10-25,64,False
2015-11-01,67,False
2015-11-08,61,False
2015-11-15,61,False
2015-11-22,57,False
2015-11-29,60,False
2015-12-06,60,False
2015-12-13,57,False
2015-12-20,57,False
2015-12-27,87,False
