date,weight loss,isPartial
2016-01-03,100,False
2016-01-10,82,False
2016-01-17,83,False
2016-01-24,84,False
2016-01-31,82,False
2016-02-07,77,False
2016-02-14,87,False
2016-02-21,84,False
2016-02-28,86,False
2016-03-06,82,False
2016-03-13,79,False
2016-03-20,80,False
2016-03-27,83,False
2016-04-03,85,False
2016-04-10,85,False
2016-04-17,80,False
2016-04-24,76,False
2016-05-01,77,False
2016-05-08,80,False
2016-05-15,82,False
2016-05-22,81,False
2016-05-29,81,False
2016-06-05,77,False
2016-06-12,76,False
2016-06-19,78,False
2016-06-26,76,False
2016-07-03,76,False
2016-07-10,78,False
2016-07-17,81,False
2016-07-24,79,False
2016-07-31,81,False
2016-08-07,78,False
2016-08-14,77,False
2016-08-21,75,False
2016-08-28,74,False
2016-09-04,73,False
2016-09-11,71,False
2016-09-18,68,False
2016-09-25,66,False
2016-10-02,64,False
2016-10-09,65,False
2016-10-16,69,False
2016-10-23,61,False
2016-10-30,64,False
2016-11-06,60,False
2016-11-13,65,False
2016-11-20,53,False
2016-11-27,64,False
2016-12-04,62,False
2016-12-11,57,False
2016-12-18,57,False
2016-12-25,83,False
