date,weight loss,isPartial
2014-01-05,100,False
2014-01-12,94,False
2014-01-19,84,False
2014-01-26,83,False
2014-02-02,84,False
2014-02-09,86,False
2014-02-16,86,False
2014-02-23,90,False
2014-03-02,89,False
2014-03-09,87,False
2014-03-16,87,False
2014-03-23,89,False
2014-03-30,87,False
2014-04-06,92,False
2014-04-13,83,False
2014-04-20,84,False
2014-04-27,85,False
2014-05-04,84,False
2014-05-11,86,False
2014-05-18,88,False
2014-05-25,91,False
2014-06-01,87,False
2014-06-08,85,False
2014-06-15,84,False
2014-06-22,87,False
2014-06-29,81,False
2014-07-06,89,False
2014-07-13,89,False
2014-07-20,87,False
2014-07-27,85,False
2014-08-03,80,False
2014-08-10,82,False
2014-08-17,77,False
2014-08-24,69,False
2014-08-31,72,False
2014-09-07,70,False
2014-09-14,67,False
2014-09-21,68,False
2014-09-28,72,False
2014-10-05,66,False
2014-10-12,70,False
2014-10-19,69,False
2014-10-26,69,False
2014-11-02,66,False
2014-11-09,67,False
2014-11-16,63,False
2014-11-23,53,False
2014-11-30,63,False
2014-12-07,59,False
2014-12-14,61,False
2014-12-21,58,False
2014-12-28,87,False
