date,isolated,isPartial
2015-01-04,66,False
2015-01-11,72,False
2015-01-18,66,False
2015-01-25,77,False
2015-02-01,84,False
2015-02-08,95,False
2015-02-15,80,False
2015-02-22,94,False
2015-03-01,89,False
2015-03-08,72,False
2015-03-15,69,False
2015-03-22,79,False
2015-03-29,76,False
2015-04-05,88,False
2015-04-12,95,False
2015-04-19,89,False
2015-04-26,79,False
2015-05-03,74,False
2015-05-10,75,False
2015-05-17,76,False
2015-05-24,62,False
2015-05-31,62,False
2015-06-07,75,False
2015-06-14,61,False
2015-06-21,59,False
2015-06-28,61,False
2015-07-05,65,False
2015-07-12,65,False
2015-07-19,52,False
2015-07-26,61,False
2015-08-02,61,False
2015-08-09,56,False
2015-08-16,63,False
2015-08-23,69,False
2015-08-30,77,False
2015-09-06,76,False
2015-09-13,80,False
2015-09-20,80,False
2015-09-27,83,False
2015-10-04,89,False
2015-10-11,80,False
2015-10-18,85,False
2015-10-25,91,False
2015-11-01,100,False
2015-11-08,93,False
2015-11-15,93,False
2015-11-22,96,False
2015-11-29,94,False
2015-12-06,98,False
2015-12-13,73,False
2015-12-20,57,False
2015-12-27,42,False
