date,isolated,isPartial
2012-01-01,46,False
2012-01-08,60,False
2012-01-15,68,False
2012-01-22,82,False
2012-01-29,76,False
2012-02-05,75,False
2012-02-12,100,False
2012-02-19,73,False
2012-02-26,89,False
2012-03-04,65,False
2012-03-11,75,False
2012-03-18,76,False
2012-03-25,74,False
2012-04-01,75,False
2012-04-08,75,False
2012-04-15,86,False
2012-04-22,76,False
2012-04-29,84,False
2012-05-06,77,False
2012-05-13,69,False
2012-05-20,75,False
2012-05-27,73,False
2012-06-03,67,False
2012-06-10,66,False
2012-06-17,61,False
2012-06-24,58,False
2012-07-01,69,False
2012-07-08,76,False
2012-07-15,66,False
2012-07-22,72,False
2012-07-29,65,False
2012-08-05,69,False
2012-08-12,55,False
2012-08-19,62,False
2012-08-26,63,False
2012-09-02,71,False
2012-09-09,79,False
2012-09-16,95,False
2012-09-23,78,False
2012-09-30,81,False
2012-10-07,87,False
2012-10-14,75,False
2012-10-21,76,False
2012-10-28,71,False
2012-11-04,70,False
2012-11-11,72,False
2012-11-18,56,False
2012-11-25,76,False
2012-12-02,79,False
2012-12-09,80,False
2012-12-16,51,False
2012-12-23,45,False
2012-12-30,46,False
