date,despondent,isPartial
2012-01-01,51,False
2012-01-08,66,False
2012-01-15,66,False
2012-01-22,72,False
2012-01-29,81,False
2012-02-05,100,False
2012-02-12,52,False
2012-02-19,62,False
2012-02-26,71,False
2012-03-04,59,False
2012-03-11,35,False
2012-03-18,68,False
2012-03-25,43,False
2012-04-01,80,False
2012-04-08,70,False
2012-04-15,60,False
2012-04-22,59,False
2012-04-29,52,False
2012-05-06,77,False
2012-05-13,78,False
2012-05-20,33,False
2012-05-27,50,False
2012-06-03,56,False
2012-06-10,72,False
2012-06-17,62,False
2012-06-24,35,False
2012-07-01,61,False
2012-07-08,60,False
2012-07-15,82,False
2012-07-22,59,False
2012-07-29,47,False
2012-08-05,51,False
2012-08-12,69,False
2012-08-19,44,False
2012-08-26,93,False
2012-09-02,100,False
2012-09-09,71,False
2012-09-16,64,False
2012-09-23,81,False
2012-09-30,74,False
2012-10-07,54,False
2012-10-14,80,False
2012-10-21,76,False
2012-10-28,75,False
2012-11-04,77,False
2012-11-11,80,False
2012-11-18,73,False
2012-11-25,81,False
2012-12-02,95,False
2012-12-09,76,False
2012-12-16,71,False
2012-12-23,46,False
2012-12-30,58,False
