geoName,tearful
Alabama,100
Alaska,0
Arizona,38
Arkansas,0
California,45
Colorado,9
Connecticut,15
Delaware,0
District of Columbia,36
Florida,20
Georgia,50
Hawaii,0
Idaho,0
Illinois,39
Indiana,27
Iowa,0
Kansas,0
Kentucky,19
Louisiana,16
Maine,0
Maryland,29
Massachusetts,33
Michigan,48
Minnesota,9
Mississippi,0
Missouri,10
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,26
New Mexico,0
New York,48
North Carolina,30
North Dakota,0
Ohio,35
Oklahoma,50
Oregon,85
Pennsylvania,39
Rhode Island,0
South Carolina,56
South Dakota,0
Tennessee,36
Texas,31
Utah,0
Vermont,0
Virginia,36
Washington,53
West Virginia,0
Wisconsin,45
Wyoming,0
