geoName,tearful
Alabama,22
Alaska,0
Arizona,10
Arkansas,0
California,53
Colorado,21
Connecticut,53
Delaware,0
District of Columbia,90
Florida,30
Georgia,41
Hawaii,0
Idaho,0
Illinois,45
Indiana,100
Iowa,0
Kansas,0
Kentucky,39
Louisiana,54
Maine,0
Maryland,42
Massachusetts,38
Michigan,42
Minnesota,57
Mississippi,0
Missouri,32
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,40
New Mexico,0
New York,51
North Carolina,54
North Dakota,0
Ohio,54
Oklahoma,0
Oregon,40
Pennsylvania,59
Rhode Island,0
South Carolina,62
South Dakota,0
Tennessee,35
Texas,39
Utah,46
Vermont,0
Virginia,41
Washington,30
West Virginia,0
Wisconsin,38
Wyoming,0
