geoName,tearful
Alabama,28
Alaska,0
Arizona,36
Arkansas,0
California,51
Colorado,41
Connecticut,100
Delaware,0
District of Columbia,62
Florida,30
Georgia,46
Hawaii,0
Idaho,0
Illinois,91
Indiana,57
Iowa,0
Kansas,0
Kentucky,63
Louisiana,27
Maine,0
Maryland,45
Massachusetts,56
Michigan,60
Minnesota,27
Mississippi,0
Missouri,86
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,34
New Mexico,0
New York,65
North Carolina,73
North Dakota,0
Ohio,34
Oklahoma,67
Oregon,85
Pennsylvania,69
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,28
Texas,44
Utah,58
Vermont,0
Virginia,46
Washington,49
West Virginia,0
Wisconsin,71
Wyoming,0
