geoName,tearful
Alabama,39
Alaska,0
Arizona,18
Arkansas,0
California,31
Colorado,36
Connecticut,0
Delaware,0
District of Columbia,26
Florida,50
Georgia,28
Hawaii,0
Idaho,0
Illinois,34
Indiana,100
Iowa,0
Kansas,0
Kentucky,37
Louisiana,0
Maine,0
Maryland,36
Massachusetts,57
Michigan,37
Minnesota,65
Mississippi,0
Missouri,44
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,49
New Mexico,0
New York,68
North Carolina,0
North Dakota,0
Ohio,34
Oklahoma,0
Oregon,50
Pennsylvania,100
Rhode Island,0
South Carolina,35
South Dakota,0
Tennessee,24
Texas,60
Utah,0
Vermont,0
Virginia,64
Washington,53
West Virginia,0
Wisconsin,68
Wyoming,0
