date,negative,isPartial
2013-01-06,70,False
2013-01-13,78,False
2013-01-20,78,False
2013-01-27,82,False
2013-02-03,85,False
2013-02-10,83,False
2013-02-17,82,False
2013-02-24,86,False
2013-03-03,82,False
2013-03-10,81,False
2013-03-17,79,False
2013-03-24,75,False
2013-03-31,76,False
2013-04-07,85,False
2013-04-14,84,False
2013-04-21,88,False
2013-04-28,87,False
2013-05-05,78,False
2013-05-12,76,False
2013-05-19,70,False
2013-05-26,66,False
2013-06-02,68,False
2013-06-09,63,False
2013-06-16,59,False
2013-06-23,59,False
2013-06-30,51,False
2013-07-07,58,False
2013-07-14,60,False
2013-07-21,54,False
2013-07-28,58,False
2013-08-04,57,False
2013-08-11,57,False
2013-08-18,65,False
2013-08-25,77,False
2013-09-01,84,False
2013-09-08,100,False
2013-09-15,99,False
2013-09-22,100,False
2013-09-29,98,False
2013-10-06,97,False
2013-10-13,93,False
2013-10-20,92,False
2013-10-27,92,False
2013-11-03,90,False
2013-11-10,89,False
2013-11-17,89,False
2013-11-24,63,False
2013-12-01,87,False
2013-12-08,89,False
2013-12-15,76,False
2013-12-22,42,False
2013-12-29,49,False
