date,negative,isPartial
2011-01-02,70,False
2011-01-09,72,False
2011-01-16,80,False
2011-01-23,85,False
2011-01-30,86,False
2011-02-06,88,False
2011-02-13,91,False
2011-02-20,84,False
2011-02-27,87,False
2011-03-06,80,False
2011-03-13,79,False
2011-03-20,83,False
2011-03-27,86,False
2011-04-03,87,False
2011-04-10,88,False
2011-04-17,87,False
2011-04-24,86,False
2011-05-01,84,False
2011-05-08,82,False
2011-05-15,77,False
2011-05-22,72,False
2011-05-29,69,False
2011-06-05,70,False
2011-06-12,68,False
2011-06-19,60,False
2011-06-26,60,False
2011-07-03,61,False
2011-07-10,62,False
2011-07-17,62,False
2011-07-24,61,False
2011-07-31,62,False
2011-08-07,62,False
2011-08-14,62,False
2011-08-21,70,False
2011-08-28,82,False
2011-09-04,85,False
2011-09-11,96,False
2011-09-18,98,False
2011-09-25,97,False
2011-10-02,97,False
2011-10-09,100,False
2011-10-16,95,False
2011-10-23,92,False
2011-10-30,93,False
2011-11-06,89,False
2011-11-13,92,False
2011-11-20,67,False
2011-11-27,94,False
2011-12-04,90,False
2011-12-11,83,False
2011-12-18,55,False
2011-12-25,47,False
