date,negative,isPartial
2012-01-01,58,False
2012-01-08,70,False
2012-01-15,72,False
2012-01-22,81,False
2012-01-29,82,False
2012-02-05,84,False
2012-02-12,82,False
2012-02-19,82,False
2012-02-26,82,False
2012-03-04,81,False
2012-03-11,70,False
2012-03-18,72,False
2012-03-25,75,False
2012-04-01,76,False
2012-04-08,79,False
2012-04-15,82,False
2012-04-22,82,False
2012-04-29,81,False
2012-05-06,77,False
2012-05-13,68,False
2012-05-20,67,False
2012-05-27,64,False
2012-06-03,63,False
2012-06-10,66,False
2012-06-17,64,False
2012-06-24,58,False
2012-07-01,58,False
2012-07-08,62,False
2012-07-15,61,False
2012-07-22,62,False
2012-07-29,59,False
2012-08-05,58,False
2012-08-12,62,False
2012-08-19,66,False
2012-08-26,80,False
2012-09-02,84,False
2012-09-09,100,False
2012-09-16,98,False
2012-09-23,98,False
2012-09-30,99,False
2012-10-07,91,False
2012-10-14,89,False
2012-10-21,87,False
2012-10-28,82,False
2012-11-04,87,False
2012-11-11,88,False
2012-11-18,65,False
2012-11-25,86,False
2012-12-02,90,False
2012-12-09,85,False
2012-12-16,63,False
2012-12-23,46,False
2012-12-30,51,False
