geoName,oncoming
Alabama,21
Alaska,0
Arizona,46
Arkansas,61
California,74
Colorado,35
Connecticut,54
Delaware,77
District of Columbia,32
Florida,72
Georgia,61
Hawaii,0
Idaho,48
Illinois,36
Indiana,53
Iowa,75
Kansas,54
Kentucky,38
Louisiana,32
Maine,27
Maryland,31
Massachusetts,36
Michigan,37
Minnesota,32
Mississippi,0
Missouri,65
Montana,0
Nebraska,34
Nevada,71
New Hampshire,100
New Jersey,47
New Mexico,10
New York,35
North Carolina,46
North Dakota,0
Ohio,44
Oklahoma,45
Oregon,56
Pennsylvania,42
Rhode Island,0
South Carolina,31
South Dakota,0
Tennessee,46
Texas,68
Utah,33
Vermont,0
Virginia,29
Washington,49
West Virginia,14
Wisconsin,50
Wyoming,0
