geoName,oncoming
Alabama,17
Alaska,0
Arizona,54
Arkansas,82
California,77
Colorado,53
Connecticut,23
Delaware,70
District of Columbia,51
Florida,81
Georgia,55
Hawaii,0
Idaho,54
Illinois,43
Indiana,69
Iowa,47
Kansas,56
Kentucky,45
Louisiana,40
Maine,58
Maryland,36
Massachusetts,34
Michigan,31
Minnesota,25
Mississippi,33
Missouri,22
Montana,0
Nebraska,35
Nevada,100
New Hampshire,20
New Jersey,44
New Mexico,70
New York,45
North Carolina,34
North Dakota,0
Ohio,49
Oklahoma,54
Oregon,51
Pennsylvania,44
Rhode Island,0
South Carolina,48
South Dakota,0
Tennessee,50
Texas,80
Utah,96
Vermont,0
Virginia,33
Washington,56
West Virginia,42
Wisconsin,60
Wyoming,0
