geoName,oncoming
Alabama,13
Alaska,0
Arizona,6
Arkansas,36
California,34
Colorado,15
Connecticut,30
Delaware,26
District of Columbia,17
Florida,35
Georgia,27
Hawaii,0
Idaho,100
Illinois,11
Indiana,34
Iowa,30
Kansas,24
Kentucky,0
Louisiana,7
Maine,32
Maryland,21
Massachusetts,17
Michigan,19
Minnesota,11
Mississippi,13
Missouri,11
Montana,0
Nebraska,43
Nevada,25
New Hampshire,27
New Jersey,20
New Mexico,14
New York,13
North Carolina,22
North Dakota,0
Ohio,17
Oklahoma,15
Oregon,34
Pennsylvania,12
Rhode Island,0
South Carolina,23
South Dakota,0
Tennessee,20
Texas,23
Utah,22
Vermont,0
Virginia,35
Washington,15
West Virginia,18
Wisconsin,19
Wyoming,0
