geoName,oncoming
Alabama,100
Alaska,0
Arizona,47
Arkansas,0
California,96
Colorado,68
Connecticut,56
Delaware,0
District of Columbia,90
Florida,93
Georgia,60
Hawaii,0
Idaho,97
Illinois,34
Indiana,93
Iowa,99
Kansas,47
Kentucky,46
Louisiana,49
Maine,95
Maryland,71
Massachusetts,51
Michigan,44
Minnesota,27
Mississippi,71
Missouri,74
Montana,0
Nebraska,65
Nevada,49
New Hampshire,56
New Jersey,36
New Mexico,28
New York,69
North Carolina,53
North Dakota,0
Ohio,29
Oklahoma,62
Oregon,35
Pennsylvania,61
Rhode Island,0
South Carolina,46
South Dakota,0
Tennessee,59
Texas,77
Utah,86
Vermont,0
Virginia,57
Washington,16
West Virginia,38
Wisconsin,49
Wyoming,0
