geoName,oncoming
Alabama,40
Alaska,0
Arizona,37
Arkansas,98
California,80
Colorado,42
Connecticut,58
Delaware,28
District of Columbia,73
Florida,53
Georgia,41
Hawaii,0
Idaho,100
Illinois,38
Indiana,79
Iowa,33
Kansas,34
Kentucky,46
Louisiana,22
Maine,35
Maryland,21
Massachusetts,32
Michigan,54
Minnesota,29
Mississippi,22
Missouri,51
Montana,0
Nebraska,0
Nevada,73
New Hampshire,15
New Jersey,59
New Mexico,30
New York,32
North Carolina,45
North Dakota,0
Ohio,44
Oklahoma,40
Oregon,20
Pennsylvania,45
Rhode Island,0
South Carolina,37
South Dakota,0
Tennessee,29
Texas,61
Utah,31
Vermont,0
Virginia,35
Washington,42
West Virginia,18
Wisconsin,36
Wyoming,0
