date,injured,isPartial
2015-01-04,47,False
2015-01-11,46,False
2015-01-18,93,False
2015-01-25,45,False
2015-02-01,55,False
2015-02-08,45,False
2015-02-15,46,False
2015-02-22,57,False
2015-03-01,60,False
2015-03-08,54,False
2015-03-15,51,False
2015-03-22,51,False
2015-03-29,50,False
2015-04-05,49,False
2015-04-12,54,False
2015-04-19,65,False
2015-04-26,74,False
2015-05-03,62,False
2015-05-10,53,False
2015-05-17,54,False
2015-05-24,59,False
2015-05-31,73,False
2015-06-07,66,False
2015-06-14,48,False
2015-06-21,52,False
2015-06-28,49,False
2015-07-05,66,False
2015-07-12,46,False
2015-07-19,43,False
2015-07-26,46,False
2015-08-02,47,False
2015-08-09,50,False
2015-08-16,53,False
2015-08-23,65,False
2015-08-30,80,False
2015-09-06,71,False
2015-09-13,77,False
2015-09-20,100,False
2015-09-27,84,False
2015-10-04,69,False
2015-10-11,72,False
2015-10-18,71,False
2015-10-25,71,False
2015-11-01,96,False
2015-11-08,66,False
2015-11-15,77,False
2015-11-22,67,False
2015-11-29,72,False
2015-12-06,60,False
2015-12-13,60,False
2015-12-20,55,False
2015-12-27,63,False
