date,injured,isPartial
2013-01-06,39,False
2013-01-13,36,False
2013-01-20,41,False
2013-01-27,40,False
2013-02-03,38,False
2013-02-10,43,False
2013-02-17,41,False
2013-02-24,52,False
2013-03-03,38,False
2013-03-10,46,False
2013-03-17,41,False
2013-03-24,36,False
2013-03-31,100,False
2013-04-07,53,False
2013-04-14,94,False
2013-04-21,63,False
2013-04-28,46,False
2013-05-05,47,False
2013-05-12,41,False
2013-05-19,43,False
2013-05-26,38,False
2013-06-02,41,False
2013-06-09,34,False
2013-06-16,37,False
2013-06-23,35,False
2013-06-30,37,False
2013-07-07,38,False
2013-07-14,35,False
2013-07-21,37,False
2013-07-28,36,False
2013-08-04,40,False
2013-08-11,44,False
2013-08-18,48,False
2013-08-25,46,False
2013-09-01,53,False
2013-09-08,51,False
2013-09-15,51,False
2013-09-22,46,False
2013-09-29,49,False
2013-10-06,46,False
2013-10-13,53,False
2013-10-20,48,False
2013-10-27,47,False
2013-11-03,49,False
2013-11-10,49,False
2013-11-17,48,False
2013-11-24,43,False
2013-12-01,35,False
2013-12-08,40,False
2013-12-15,37,False
2013-12-22,37,False
2013-12-29,42,False
