date,injured,isPartial
2011-01-02,68,False
2011-01-09,69,False
2011-01-16,81,False
2011-01-23,76,False
2011-01-30,63,False
2011-02-06,62,False
2011-02-13,56,False
2011-02-20,59,False
2011-02-27,50,False
2011-03-06,63,False
2011-03-13,74,False
2011-03-20,60,False
2011-03-27,61,False
2011-04-03,76,False
2011-04-10,70,False
2011-04-17,62,False
2011-04-24,61,False
2011-05-01,59,False
2011-05-08,64,False
2011-05-15,52,False
2011-05-22,65,False
2011-05-29,66,False
2011-06-05,61,False
2011-06-12,58,False
2011-06-19,54,False
2011-06-26,46,False
2011-07-03,52,False
2011-07-10,49,False
2011-07-17,58,False
2011-07-24,51,False
2011-07-31,55,False
2011-08-07,66,False
2011-08-14,59,False
2011-08-21,65,False
2011-08-28,67,False
2011-09-04,72,False
2011-09-11,80,False
2011-09-18,100,False
2011-09-25,76,False
2011-10-02,77,False
2011-10-09,79,False
2011-10-16,73,False
2011-10-23,77,False
2011-10-30,67,False
2011-11-06,63,False
2011-11-13,58,False
2011-11-20,80,False
2011-11-27,67,False
2011-12-04,83,False
2011-12-11,62,False
2011-12-18,74,False
2011-12-25,59,False
