date,injured,isPartial
2014-01-05,66,False
2014-01-12,68,False
2014-01-19,90,False
2014-01-26,73,False
2014-02-02,74,False
2014-02-09,79,False
2014-02-16,87,False
2014-02-23,73,False
2014-03-02,62,False
2014-03-09,71,False
2014-03-16,75,False
2014-03-23,68,False
2014-03-30,71,False
2014-04-06,86,False
2014-04-13,67,False
2014-04-20,68,False
2014-04-27,67,False
2014-05-04,77,False
2014-05-11,70,False
2014-05-18,76,False
2014-05-25,77,False
2014-06-01,82,False
2014-06-08,100,False
2014-06-15,87,False
2014-06-22,68,False
2014-06-29,88,False
2014-07-06,83,False
2014-07-13,74,False
2014-07-20,67,False
2014-07-27,77,False
2014-08-03,66,False
2014-08-10,65,False
2014-08-17,98,False
2014-08-24,89,False
2014-08-31,98,False
2014-09-07,83,False
2014-09-14,84,False
2014-09-21,86,False
2014-09-28,77,False
2014-10-05,87,False
2014-10-12,88,False
2014-10-19,90,False
2014-10-26,100,False
2014-11-02,88,False
2014-11-09,87,False
2014-11-16,83,False
2014-11-23,78,False
2014-11-30,81,False
2014-12-07,82,False
2014-12-14,70,False
2014-12-21,64,False
2014-12-28,69,False
