date,injured,isPartial
2012-01-01,31,False
2012-01-08,31,False
2012-01-15,32,False
2012-01-22,29,False
2012-01-29,23,False
2012-02-05,28,False
2012-02-12,22,False
2012-02-19,25,False
2012-02-26,25,False
2012-03-04,29,False
2012-03-11,27,False
2012-03-18,29,False
2012-03-25,26,False
2012-04-01,29,False
2012-04-08,26,False
2012-04-15,28,False
2012-04-22,27,False
2012-04-29,29,False
2012-05-06,26,False
2012-05-13,24,False
2012-05-20,23,False
2012-05-27,25,False
2012-06-03,25,False
2012-06-10,26,False
2012-06-17,26,False
2012-06-24,23,False
2012-07-01,27,False
2012-07-08,26,False
2012-07-15,29,False
2012-07-22,30,False
2012-07-29,24,False
2012-08-05,30,False
2012-08-12,28,False
2012-08-19,35,False
2012-08-26,35,False
2012-09-02,40,False
2012-09-09,100,False
2012-09-16,39,False
2012-09-23,41,False
2012-09-30,32,False
2012-10-07,34,False
2012-10-14,43,False
2012-10-21,33,False
2012-10-28,33,False
2012-11-04,28,False
2012-11-11,32,False
2012-11-18,28,False
2012-11-25,27,False
2012-12-02,28,False
2012-12-09,28,False
2012-12-16,26,False
2012-12-23,24,False
2012-12-30,25,False
