date,injured,isPartial
2016-01-03,100,False
2016-01-10,71,False
2016-01-17,63,False
2016-01-24,65,False
2016-01-31,60,False
2016-02-07,68,False
2016-02-14,60,False
2016-02-21,66,False
2016-02-28,58,False
2016-03-06,62,False
2016-03-13,85,False
2016-03-20,76,False
2016-03-27,69,False
2016-04-03,73,False
2016-04-10,67,False
2016-04-17,76,False
2016-04-24,65,False
2016-05-01,62,False
2016-05-08,69,False
2016-05-15,63,False
2016-05-22,71,False
2016-05-29,66,False
2016-06-05,61,False
2016-06-12,72,False
2016-06-19,65,False
2016-06-26,63,False
2016-07-03,67,False
2016-07-10,65,False
2016-07-17,54,False
2016-07-24,57,False
2016-07-31,57,False
2016-08-07,98,False
2016-08-14,58,False
2016-08-21,79,False
2016-08-28,78,False
2016-09-04,81,False
2016-09-11,75,False
2016-09-18,98,False
2016-09-25,77,False
2016-10-02,100,False
2016-10-09,91,False
2016-10-16,72,False
2016-10-23,76,False
2016-10-30,83,False
2016-11-06,68,False
2016-11-13,69,False
2016-11-20,70,False
2016-11-27,69,False
2016-12-04,60,False
2016-12-11,65,False
2016-12-18,77,False
2016-12-25,67,False
