date,inability,isPartial
2015-01-04,82,False
2015-01-11,71,False
2015-01-18,61,False
2015-01-25,71,False
2015-02-01,82,False
2015-02-08,74,False
2015-02-15,97,False
2015-02-22,65,False
2015-03-01,78,False
2015-03-08,90,False
2015-03-15,71,False
2015-03-22,65,False
2015-03-29,71,False
2015-04-05,96,False
2015-04-12,82,False
2015-04-19,77,False
2015-04-26,100,False
2015-05-03,83,False
2015-05-10,75,False
2015-05-17,71,False
2015-05-24,64,False
2015-05-31,65,False
2015-06-07,66,False
2015-06-14,60,False
2015-06-21,55,False
2015-06-28,59,False
2015-07-05,70,False
2015-07-12,74,False
2015-07-19,58,False
2015-07-26,53,False
2015-08-02,56,False
2015-08-09,60,False
2015-08-16,65,False
2015-08-23,75,False
2015-08-30,62,False
2015-09-06,66,False
2015-09-13,79,False
2015-09-20,83,False
2015-09-27,95,False
2015-10-04,82,False
2015-10-11,89,False
2015-10-18,90,False
2015-10-25,85,False
2015-11-01,87,False
2015-11-08,75,False
2015-11-15,95,False
2015-11-22,73,False
2015-11-29,86,False
2015-12-06,83,False
2015-12-13,78,False
2015-12-20,40,False
2015-12-27,52,False
