date,inability,isPartial
2016-01-03,60,False
2016-01-10,78,False
2016-01-17,73,False
2016-01-24,81,False
2016-01-31,84,False
2016-02-07,76,False
2016-02-14,84,False
2016-02-21,75,False
2016-02-28,84,False
2016-03-06,81,False
2016-03-13,82,False
2016-03-20,78,False
2016-03-27,96,False
2016-04-03,83,False
2016-04-10,75,False
2016-04-17,100,False
2016-04-24,82,False
2016-05-01,85,False
2016-05-08,82,False
2016-05-15,66,False
2016-05-22,75,False
2016-05-29,50,False
2016-06-05,60,False
2016-06-12,61,False
2016-06-19,73,False
2016-06-26,54,False
2016-07-03,43,False
2016-07-10,59,False
2016-07-17,58,False
2016-07-24,61,False
2016-07-31,53,False
2016-08-07,53,False
2016-08-14,61,False
2016-08-21,52,False
2016-08-28,68,False
2016-09-04,65,False
2016-09-11,77,False
2016-09-18,74,False
2016-09-25,74,False
2016-10-02,93,False
2016-10-09,88,False
2016-10-16,87,False
2016-10-23,84,False
2016-10-30,77,False
2016-11-06,83,False
2016-11-13,92,False
2016-11-20,61,False
2016-11-27,85,False
2016-12-04,89,False
2016-12-11,85,False
2016-12-18,42,False
2016-12-25,44,False
