date,anxious,isPartial
2012-01-01,87,False
2012-01-08,76,False
2012-01-15,83,False
2012-01-22,83,False
2012-01-29,79,False
2012-02-05,80,False
2012-02-12,89,False
2012-02-19,87,False
2012-02-26,95,False
2012-03-04,89,False
2012-03-11,75,False
2012-03-18,73,False
2012-03-25,71,False
2012-04-01,81,False
2012-04-08,78,False
2012-04-15,74,False
2012-04-22,85,False
2012-04-29,95,False
2012-05-06,71,False
2012-05-13,91,False
2012-05-20,87,False
2012-05-27,65,False
2012-06-03,74,False
2012-06-10,77,False
2012-06-17,80,False
2012-06-24,77,False
2012-07-01,70,False
2012-07-08,81,False
2012-07-15,80,False
2012-07-22,85,False
2012-07-29,87,False
2012-08-05,79,False
2012-08-12,100,False
2012-08-19,90,False
2012-08-26,96,False
2012-09-02,99,False
2012-09-09,100,False
2012-09-16,93,False
2012-09-23,91,False
2012-09-30,95,False
2012-10-07,91,False
2012-10-14,80,False
2012-10-21,84,False
2012-10-28,80,False
2012-11-04,86,False
2012-11-11,98,False
2012-11-18,75,False
2012-11-25,83,False
2012-12-02,84,False
2012-12-09,83,False
2012-12-16,75,False
2012-12-23,69,False
2012-12-30,80,False
