date,anxious,isPartial
2014-01-05,91,False
2014-01-12,87,False
2014-01-19,83,False
2014-01-26,90,False
2014-02-02,83,False
2014-02-09,77,False
2014-02-16,82,False
2014-02-23,83,False
2014-03-02,88,False
2014-03-09,93,False
2014-03-16,87,False
2014-03-23,85,False
2014-03-30,85,False
2014-04-06,87,False
2014-04-13,85,False
2014-04-20,81,False
2014-04-27,100,False
2014-05-04,96,False
2014-05-11,86,False
2014-05-18,83,False
2014-05-25,79,False
2014-06-01,81,False
2014-06-08,89,False
2014-06-15,77,False
2014-06-22,86,False
2014-06-29,80,False
2014-07-06,87,False
2014-07-13,94,False
2014-07-20,86,False
2014-07-27,82,False
2014-08-03,78,False
2014-08-10,82,False
2014-08-17,89,False
2014-08-24,84,False
2014-08-31,88,False
2014-09-07,97,False
2014-09-14,83,False
2014-09-21,92,False
2014-09-28,90,False
2014-10-05,90,False
2014-10-12,93,False
2014-10-19,97,False
2014-10-26,87,False
2014-11-02,89,False
2014-11-09,89,False
2014-11-16,99,False
2014-11-23,81,False
2014-11-30,86,False
2014-12-07,83,False
2014-12-14,87,False
2014-12-21,69,False
2014-12-28,83,False
