date,anxious,isPartial
2015-01-04,74,False
2015-01-11,79,False
2015-01-18,72,False
2015-01-25,71,False
2015-02-01,70,False
2015-02-08,81,False
2015-02-15,66,False
2015-02-22,79,False
2015-03-01,75,False
2015-03-08,81,False
2015-03-15,73,False
2015-03-22,74,False
2015-03-29,73,False
2015-04-05,73,False
2015-04-12,77,False
2015-04-19,81,False
2015-04-26,70,False
2015-05-03,79,False
2015-05-10,79,False
2015-05-17,70,False
2015-05-24,81,False
2015-05-31,67,False
2015-06-07,65,False
2015-06-14,64,False
2015-06-21,72,False
2015-06-28,63,False
2015-07-05,73,False
2015-07-12,71,False
2015-07-19,68,False
2015-07-26,75,False
2015-08-02,73,False
2015-08-09,84,False
2015-08-16,79,False
2015-08-23,85,False
2015-08-30,98,False
2015-09-06,81,False
2015-09-13,88,False
2015-09-20,92,False
2015-09-27,76,False
2015-10-04,87,False
2015-10-11,92,False
2015-10-18,84,False
2015-10-25,100,False
2015-11-01,93,False
2015-11-08,86,False
2015-11-15,90,False
2015-11-22,68,False
2015-11-29,83,False
2015-12-06,88,False
2015-12-13,75,False
2015-12-20,63,False
2015-12-27,77,False
