date,child,isPartial
2015-01-04,94,False
2015-01-11,93,False
2015-01-18,96,False
2015-01-25,95,False
2015-02-01,98,False
2015-02-08,94,False
2015-02-15,93,False
2015-02-22,91,False
2015-03-01,97,False
2015-03-08,95,False
2015-03-15,92,False
2015-03-22,95,False
2015-03-29,92,False
2015-04-05,93,False
2015-04-12,100,False
2015-04-19,98,False
2015-04-26,95,False
2015-05-03,94,False
2015-05-10,92,False
2015-05-17,94,False
2015-05-24,90,False
2015-05-31,95,False
2015-06-07,89,False
2015-06-14,89,False
2015-06-21,90,False
2015-06-28,88,False
2015-07-05,95,False
2015-07-12,93,False
2015-07-19,91,False
2015-07-26,92,False
2015-08-02,94,False
2015-08-09,97,False
2015-08-16,97,False
2015-08-23,93,False
2015-08-30,97,False
2015-09-06,93,False
2015-09-13,93,False
2015-09-20,94,False
2015-09-27,93,False
2015-10-04,96,False
2015-10-11,94,False
2015-10-18,93,False
2015-10-25,95,False
2015-11-01,99,False
2015-11-08,93,False
2015-11-15,93,False
2015-11-22,76,False
2015-11-29,92,False
2015-12-06,92,False
2015-12-13,87,False
2015-12-20,80,False
2015-12-27,85,False
