date,child,isPartial
2012-01-01,82,False
2012-01-08,84,False
2012-01-15,85,False
2012-01-22,86,False
2012-01-29,89,False
2012-02-05,91,False
2012-02-12,82,False
2012-02-19,87,False
2012-02-26,87,False
2012-03-04,87,False
2012-03-11,79,False
2012-03-18,83,False
2012-03-25,85,False
2012-04-01,85,False
2012-04-08,86,False
2012-04-15,86,False
2012-04-22,90,False
2012-04-29,90,False
2012-05-06,91,False
2012-05-13,86,False
2012-05-20,86,False
2012-05-27,82,False
2012-06-03,87,False
2012-06-10,81,False
2012-06-17,80,False
2012-06-24,80,False
2012-07-01,76,False
2012-07-08,81,False
2012-07-15,83,False
2012-07-22,86,False
2012-07-29,85,False
2012-08-05,89,False
2012-08-12,100,False
2012-08-19,93,False
2012-08-26,90,False
2012-09-02,96,False
2012-09-09,91,False
2012-09-16,97,False
2012-09-23,88,False
2012-09-30,89,False
2012-10-07,89,False
2012-10-14,86,False
2012-10-21,87,False
2012-10-28,81,False
2012-11-04,85,False
2012-11-11,92,False
2012-11-18,74,False
2012-11-25,89,False
2012-12-02,89,False
2012-12-09,86,False
2012-12-16,83,False
2012-12-23,72,False
2012-12-30,84,False
