date,physician,isPartial
2014-01-05,88,False
2014-01-12,93,False
2014-01-19,90,False
2014-01-26,88,False
2014-02-02,84,False
2014-02-09,86,False
2014-02-16,87,False
2014-02-23,88,False
2014-03-02,86,False
2014-03-09,88,False
2014-03-16,84,False
2014-03-23,87,False
2014-03-30,91,False
2014-04-06,93,False
2014-04-13,100,False
2014-04-20,94,False
2014-04-27,94,False
2014-05-04,85,False
2014-05-11,88,False
2014-05-18,91,False
2014-05-25,83,False
2014-06-01,88,False
2014-06-08,87,False
2014-06-15,92,False
2014-06-22,86,False
2014-06-29,77,False
2014-07-06,88,False
2014-07-13,90,False
2014-07-20,91,False
2014-07-27,92,False
2014-08-03,93,False
2014-08-10,86,False
2014-08-17,92,False
2014-08-24,90,False
2014-08-31,85,False
2014-09-07,91,False
2014-09-14,91,False
2014-09-21,90,False
2014-09-28,94,False
2014-10-05,99,False
2014-10-12,90,False
2014-10-19,95,False
2014-10-26,93,False
2014-11-02,98,False
2014-11-09,99,False
2014-11-16,87,False
2014-11-23,64,False
2014-11-30,87,False
2014-12-07,87,False
2014-12-14,79,False
2014-12-21,54,False
2014-12-28,72,False
