date,physician,isPartial
2015-01-04,88,False
2015-01-11,90,False
2015-01-18,88,False
2015-01-25,97,False
2015-02-01,86,False
2015-02-08,88,False
2015-02-15,84,False
2015-02-22,89,False
2015-03-01,89,False
2015-03-08,93,False
2015-03-15,93,False
2015-03-22,91,False
2015-03-29,87,False
2015-04-05,88,False
2015-04-12,86,False
2015-04-19,89,False
2015-04-26,89,False
2015-05-03,85,False
2015-05-10,93,False
2015-05-17,88,False
2015-05-24,81,False
2015-05-31,87,False
2015-06-07,84,False
2015-06-14,83,False
2015-06-21,84,False
2015-06-28,85,False
2015-07-05,93,False
2015-07-12,93,False
2015-07-19,99,False
2015-07-26,100,False
2015-08-02,96,False
2015-08-09,98,False
2015-08-16,96,False
2015-08-23,96,False
2015-08-30,91,False
2015-09-06,88,False
2015-09-13,97,False
2015-09-20,97,False
2015-09-27,96,False
2015-10-04,96,False
2015-10-11,86,False
2015-10-18,88,False
2015-10-25,96,False
2015-11-01,97,False
2015-11-08,99,False
2015-11-15,88,False
2015-11-22,64,False
2015-11-29,84,False
2015-12-06,85,False
2015-12-13,78,False
2015-12-20,61,False
2015-12-27,73,False
