geoName,physician
Alabama,85
Alaska,65
Arizona,72
Arkansas,64
California,56
Colorado,64
Connecticut,90
Delaware,83
District of Columbia,63
Florida,95
Georgia,66
Hawaii,61
Idaho,69
Illinois,66
Indiana,82
Iowa,59
Kansas,53
Kentucky,78
Louisiana,77
Maine,66
Maryland,97
Massachusetts,77
Michigan,78
Minnesota,67
Mississippi,78
Missouri,74
Montana,58
Nebraska,71
Nevada,55
New Hampshire,67
New Jersey,69
New Mexico,71
New York,66
North Carolina,70
North Dakota,58
Ohio,85
Oklahoma,73
Oregon,46
Pennsylvania,89
Rhode Island,79
South Carolina,67
South Dakota,70
Tennessee,85
Texas,66
Utah,63
Vermont,77
Virginia,47
Washington,54
West Virginia,100
Wisconsin,60
Wyoming,61
