geoName,physician
Alabama,78
Alaska,63
Arizona,78
Arkansas,69
California,55
Colorado,62
Connecticut,86
Delaware,87
District of Columbia,78
Florida,85
Georgia,64
Hawaii,55
Idaho,72
Illinois,71
Indiana,84
Iowa,64
Kansas,57
Kentucky,73
Louisiana,68
Maine,76
Maryland,93
Massachusetts,79
Michigan,80
Minnesota,59
Mississippi,58
Missouri,75
Montana,73
Nebraska,81
Nevada,49
New Hampshire,73
New Jersey,70
New Mexico,69
New York,66
North Carolina,73
North Dakota,51
Ohio,80
Oklahoma,74
Oregon,36
Pennsylvania,95
Rhode Island,73
South Carolina,78
South Dakota,81
Tennessee,92
Texas,65
Utah,67
Vermont,62
Virginia,53
Washington,58
West Virginia,100
Wisconsin,63
Wyoming,75
