date,physician,isPartial
2012-01-01,85,False
2012-01-08,94,False
2012-01-15,93,False
2012-01-22,92,False
2012-01-29,93,False
2012-02-05,90,False
2012-02-12,88,False
2012-02-19,85,False
2012-02-26,90,False
2012-03-04,94,False
2012-03-11,81,False
2012-03-18,82,False
2012-03-25,86,False
2012-04-01,84,False
2012-04-08,86,False
2012-04-15,88,False
2012-04-22,90,False
2012-04-29,88,False
2012-05-06,86,False
2012-05-13,88,False
2012-05-20,92,False
2012-05-27,85,False
2012-06-03,88,False
2012-06-10,88,False
2012-06-17,86,False
2012-06-24,85,False
2012-07-01,80,False
2012-07-08,92,False
2012-07-15,88,False
2012-07-22,88,False
2012-07-29,89,False
2012-08-05,91,False
2012-08-12,87,False
2012-08-19,92,False
2012-08-26,87,False
2012-09-02,85,False
2012-09-09,92,False
2012-09-16,96,False
2012-09-23,100,False
2012-09-30,95,False
2012-10-07,90,False
2012-10-14,95,False
2012-10-21,92,False
2012-10-28,85,False
2012-11-04,88,False
2012-11-11,86,False
2012-11-18,64,False
2012-11-25,90,False
2012-12-02,92,False
2012-12-09,79,False
2012-12-16,69,False
2012-12-23,56,False
2012-12-30,77,False
