date,physician,isPartial
2016-01-03,94,False
2016-01-10,94,False
2016-01-17,92,False
2016-01-24,98,False
2016-01-31,98,False
2016-02-07,96,False
2016-02-14,92,False
2016-02-21,95,False
2016-02-28,91,False
2016-03-06,90,False
2016-03-13,88,False
2016-03-20,97,False
2016-03-27,92,False
2016-04-03,93,False
2016-04-10,100,False
2016-04-17,95,False
2016-04-24,86,False
2016-05-01,93,False
2016-05-08,94,False
2016-05-15,92,False
2016-05-22,87,False
2016-05-29,81,False
2016-06-05,89,False
2016-06-12,84,False
2016-06-19,85,False
2016-06-26,84,False
2016-07-03,77,False
2016-07-10,87,False
2016-07-17,88,False
2016-07-24,88,False
2016-07-31,86,False
2016-08-07,87,False
2016-08-14,85,False
2016-08-21,90,False
2016-08-28,87,False
2016-09-04,84,False
2016-09-11,94,False
2016-09-18,91,False
2016-09-25,92,False
2016-10-02,87,False
2016-10-09,88,False
2016-10-16,100,False
2016-10-23,92,False
2016-10-30,88,False
2016-11-06,83,False
2016-11-13,93,False
2016-11-20,69,False
2016-11-27,89,False
2016-12-04,86,False
2016-12-11,80,False
2016-12-18,73,False
2016-12-25,70,False
