geoName,physician
Alabama,74
Alaska,54
Arizona,69
Arkansas,73
California,49
Colorado,60
Connecticut,72
Delaware,89
District of Columbia,63
Florida,85
Georgia,61
Hawaii,59
Idaho,70
Illinois,64
Indiana,74
Iowa,65
Kansas,64
Kentucky,79
Louisiana,67
Maine,71
Maryland,85
Massachusetts,68
Michigan,76
Minnesota,58
Mississippi,64
Missouri,64
Montana,61
Nebraska,64
Nevada,55
New Hampshire,65
New Jersey,68
New Mexico,71
New York,60
North Carolina,75
North Dakota,61
Ohio,75
Oklahoma,71
Oregon,57
Pennsylvania,91
Rhode Island,66
South Carolina,73
South Dakota,71
Tennessee,89
Texas,58
Utah,70
Vermont,57
Virginia,68
Washington,54
West Virginia,100
Wisconsin,62
Wyoming,56
