geoName,physician
Alabama,78
Alaska,66
Arizona,68
Arkansas,66
California,53
Colorado,62
Connecticut,83
Delaware,80
District of Columbia,82
Florida,84
Georgia,65
Hawaii,56
Idaho,75
Illinois,68
Indiana,85
Iowa,61
Kansas,64
Kentucky,84
Louisiana,71
Maine,72
Maryland,91
Massachusetts,73
Michigan,82
Minnesota,60
Mississippi,55
Missouri,67
Montana,75
Nebraska,82
Nevada,51
New Hampshire,77
New Jersey,68
New Mexico,74
New York,68
North Carolina,77
North Dakota,56
Ohio,82
Oklahoma,68
Oregon,39
Pennsylvania,92
Rhode Island,71
South Carolina,80
South Dakota,66
Tennessee,90
Texas,59
Utah,70
Vermont,70
Virginia,72
Washington,54
West Virginia,100
Wisconsin,64
Wyoming,52
