geoName,physician
Alabama,77
Alaska,71
Arizona,72
Arkansas,71
California,49
Colorado,55
Connecticut,76
Delaware,77
District of Columbia,71
Florida,86
Georgia,66
Hawaii,59
Idaho,81
Illinois,67
Indiana,79
Iowa,58
Kansas,69
Kentucky,80
Louisiana,76
Maine,75
Maryland,84
Massachusetts,69
Michigan,79
Minnesota,59
Mississippi,67
Missouri,68
Montana,71
Nebraska,75
Nevada,51
New Hampshire,65
New Jersey,70
New Mexico,72
New York,62
North Carolina,76
North Dakota,66
Ohio,72
Oklahoma,72
Oregon,60
Pennsylvania,87
Rhode Island,72
South Carolina,73
South Dakota,60
Tennessee,100
Texas,58
Utah,65
Vermont,67
Virginia,65
Washington,61
West Virginia,96
Wisconsin,65
Wyoming,66
