date,physician,isPartial
2011-01-02,97,False
2011-01-09,95,False
2011-01-16,92,False
2011-01-23,94,False
2011-01-30,91,False
2011-02-06,94,False
2011-02-13,98,False
2011-02-20,92,False
2011-02-27,99,False
2011-03-06,92,False
2011-03-13,93,False
2011-03-20,88,False
2011-03-27,88,False
2011-04-03,92,False
2011-04-10,100,False
2011-04-17,87,False
2011-04-24,89,False
2011-05-01,91,False
2011-05-08,96,False
2011-05-15,98,False
2011-05-22,83,False
2011-05-29,85,False
2011-06-05,90,False
2011-06-12,92,False
2011-06-19,94,False
2011-06-26,90,False
2011-07-03,80,False
2011-07-10,89,False
2011-07-17,91,False
2011-07-24,97,False
2011-07-31,93,False
2011-08-07,94,False
2011-08-14,86,False
2011-08-21,85,False
2011-08-28,90,False
2011-09-04,91,False
2011-09-11,97,False
2011-09-18,95,False
2011-09-25,90,False
2011-10-02,99,False
2011-10-09,98,False
2011-10-16,95,False
2011-10-23,90,False
2011-10-30,93,False
2011-11-06,92,False
2011-11-13,86,False
2011-11-20,65,False
2011-11-27,86,False
2011-12-04,84,False
2011-12-11,78,False
2011-12-18,71,False
2011-12-25,63,False
