date,breakdown,isPartial
2011-01-02,90,False
2011-01-09,86,False
2011-01-16,78,False
2011-01-23,89,False
2011-01-30,82,False
2011-02-06,86,False
2011-02-13,92,False
2011-02-20,96,False
2011-02-27,87,False
2011-03-06,80,False
2011-03-13,93,False
2011-03-20,79,False
2011-03-27,80,False
2011-04-03,91,False
2011-04-10,100,False
2011-04-17,84,False
2011-04-24,94,False
2011-05-01,88,False
2011-05-08,86,False
2011-05-15,81,False
2011-05-22,77,False
2011-05-29,77,False
2011-06-05,78,False
2011-06-12,74,False
2011-06-19,76,False
2011-06-26,76,False
2011-07-03,79,False
2011-07-10,75,False
2011-07-17,76,False
2011-07-24,78,False
2011-07-31,81,False
2011-08-07,80,False
2011-08-14,78,False
2011-08-21,82,False
2011-08-28,85,False
2011-09-04,84,False
2011-09-11,85,False
2011-09-18,91,False
2011-09-25,95,False
2011-10-02,90,False
2011-10-09,94,False
2011-10-16,92,False
2011-10-23,87,False
2011-10-30,88,False
2011-11-06,87,False
2011-11-13,86,False
2011-11-20,75,False
2011-11-27,80,False
2011-12-04,86,False
2011-12-11,83,False
2011-12-18,67,False
2011-12-25,61,False
