geoName,seriousness
Alabama,62
Alaska,0
Arizona,47
Arkansas,100
California,39
Colorado,21
Connecticut,27
Delaware,0
District of Columbia,43
Florida,54
Georgia,48
Hawaii,0
Idaho,0
Illinois,46
Indiana,46
Iowa,48
Kansas,27
Kentucky,36
Louisiana,26
Maine,0
Maryland,74
Massachusetts,43
Michigan,30
Minnesota,30
Mississippi,38
Missouri,44
Montana,0
Nebraska,40
Nevada,39
New Hampshire,0
New Jersey,40
New Mexico,0
New York,39
North Carolina,48
North Dakota,0
Ohio,54
Oklahoma,40
Oregon,10
Pennsylvania,36
Rhode Island,0
South Carolina,56
South Dakota,0
Tennessee,38
Texas,37
Utah,45
Vermont,0
Virginia,47
Washington,20
West Virginia,0
Wisconsin,46
Wyoming,0
