geoName,seriousness
Alabama,60
Alaska,0
Arizona,28
Arkansas,100
California,44
Colorado,45
Connecticut,15
Delaware,0
District of Columbia,36
Florida,39
Georgia,45
Hawaii,0
Idaho,0
Illinois,43
Indiana,41
Iowa,40
Kansas,13
Kentucky,28
Louisiana,39
Maine,0
Maryland,57
Massachusetts,35
Michigan,38
Minnesota,44
Mississippi,19
Missouri,59
Montana,0
Nebraska,17
Nevada,39
New Hampshire,0
New Jersey,45
New Mexico,0
New York,32
North Carolina,52
North Dakota,0
Ohio,35
Oklahoma,75
Oregon,21
Pennsylvania,34
Rhode Island,0
South Carolina,37
South Dakota,0
Tennessee,47
Texas,32
Utah,12
Vermont,0
Virginia,39
Washington,36
West Virginia,0
Wisconsin,45
Wyoming,0
