date,seriousness,isPartial
2012-01-01,48,False
2012-01-08,46,False
2012-01-15,46,False
2012-01-22,44,False
2012-01-29,84,False
2012-02-05,50,False
2012-02-12,59,False
2012-02-19,54,False
2012-02-26,50,False
2012-03-04,41,False
2012-03-11,75,False
2012-03-18,40,False
2012-03-25,50,False
2012-04-01,51,False
2012-04-08,57,False
2012-04-15,54,False
2012-04-22,74,False
2012-04-29,54,False
2012-05-06,54,False
2012-05-13,70,False
2012-05-20,25,False
2012-05-27,62,False
2012-06-03,46,False
2012-06-10,46,False
2012-06-17,41,False
2012-06-24,35,False
2012-07-01,26,False
2012-07-08,45,False
2012-07-15,30,False
2012-07-22,25,False
2012-07-29,35,False
2012-08-05,49,False
2012-08-12,34,False
2012-08-19,69,False
2012-08-26,44,False
2012-09-02,49,False
2012-09-09,52,False
2012-09-16,56,False
2012-09-23,60,False
2012-09-30,51,False
2012-10-07,59,False
2012-10-14,49,False
2012-10-21,49,False
2012-10-28,100,False
2012-11-04,62,False
2012-11-11,36,False
2012-11-18,38,False
2012-11-25,17,False
2012-12-02,47,False
2012-12-09,52,False
2012-12-16,31,False
2012-12-23,50,False
2012-12-30,41,False
