geoName,seriousness
Alabama,22
Alaska,0
Arizona,30
Arkansas,41
California,34
Colorado,15
Connecticut,42
Delaware,0
District of Columbia,58
Florida,27
Georgia,24
Hawaii,0
Idaho,0
Illinois,14
Indiana,29
Iowa,25
Kansas,41
Kentucky,42
Louisiana,45
Maine,0
Maryland,36
Massachusetts,55
Michigan,50
Minnesota,23
Mississippi,44
Missouri,19
Montana,0
Nebraska,55
Nevada,100
New Hampshire,0
New Jersey,28
New Mexico,0
New York,32
North Carolina,34
North Dakota,0
Ohio,32
Oklahoma,26
Oregon,58
Pennsylvania,31
Rhode Island,0
South Carolina,70
South Dakota,0
Tennessee,14
Texas,27
Utah,25
Vermont,0
Virginia,44
Washington,22
West Virginia,0
Wisconsin,46
Wyoming,0
