geoName,seriousness
Alabama,40
Alaska,0
Arizona,35
Arkansas,49
California,38
Colorado,35
Connecticut,27
Delaware,0
District of Columbia,50
Florida,47
Georgia,38
Hawaii,0
Idaho,0
Illinois,48
Indiana,76
Iowa,57
Kansas,48
Kentucky,31
Louisiana,29
Maine,0
Maryland,38
Massachusetts,75
Michigan,46
Minnesota,50
Mississippi,99
Missouri,58
Montana,0
Nebraska,100
Nevada,50
New Hampshire,0
New Jersey,58
New Mexico,0
New York,40
North Carolina,41
North Dakota,0
Ohio,50
Oklahoma,24
Oregon,20
Pennsylvania,43
Rhode Island,0
South Carolina,25
South Dakota,0
Tennessee,70
Texas,32
Utah,10
Vermont,0
Virginia,24
Washington,36
West Virginia,0
Wisconsin,36
Wyoming,0
